Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 22, 2048, 1, 4, 64, 0.0757034, 0.0676061, N/A, 0.00205385, 0.00206331, 0.00899107, 0.00526608, 2, 2, 0.125, 2, 4, 1, 49.8055, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 22, 2048, 1, 1, 64, 0.0811253, 0.0672763, N/A, 0.00119496, 0.00197096, 0.0104797, 0.00431156, 2, 2, 0.25, 4, 1, 1, 60.8318, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 1, 64, 0.0811253, 0.0672763, N/A, 0.00119496, 0.00197096, 0.0104797, 0.00431156, 2, 2, 0.25, 4, 1, 1, 60.8318, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 1, 64, 0.113773, 0.0953538, N/A, 0.00198654, 0.00314772, 0.00577058, 0.00911571, 2, 2, 0.25, 4, 1, 1, 60.8736, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 1, 64, 0.165025, 0.138853, N/A, 0.00312202, 0.00483139, 0.00399048, 0.0180048, 2, 2, 0.25, 4, 1, 1, 60.9477, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 4, 64, 0.0757034, 0.0676061, N/A, 0.00205385, 0.00206331, 0.00899107, 0.00526608, 2, 2, 0.125, 2, 4, 1, 49.8055, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 4, 64, 0.108535, 0.101256, N/A, 0.00349479, 0.00345028, 0.00511105, 0.0111634, 2, 2, 0.125, 2, 4, 1, 49.7078, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 4, 64, 0.158876, 0.150736, N/A, 0.00556268, 0.00543476, 0.00353363, 0.0220859, 2, 2, 0.125, 2, 4, 1, 49.6854, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.0799884, 0.0917794, N/A, 0.00362195, 0.00308582, 0.0079169, 0.00734336, 2, 2, 0.125, 2, 8, 1, 35.7166, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 8, 64, 0.112223, 0.13905, N/A, 0.00621874, 0.00528366, 0.00452116, 0.0155931, 2, 2, 0.125, 2, 8, 1, 35.5867, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 8, 64, 0.161636, 0.206154, N/A, 0.00993712, 0.00841903, 0.00306291, 0.0308593, 2, 2, 0.125, 2, 8, 1, 35.5598, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 1, 64, 0.0871667, 0.0789981, N/A, 0.00219633, 0.00258129, 0.0173257, 0.00829242, 2, 2, 0.5, 8, 1, 1, 63.2578, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 1, 64, 0.121736, 0.114009, N/A, 0.00363962, 0.00420806, 0.00994262, 0.0175754, 2, 2, 0.5, 8, 1, 1, 63.1458, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 1, 64, 0.209663, 0.170658, N/A, 0.00393268, 0.00741941, 0.00697298, 0.0312849, 2, 2, 0.25, 4, 1, 1, 70.1521, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 4, 64, 0.0882821, 0.0789981, N/A, 0.00246151, 0.00268159, 0.0169213, 0.00831336, 2, 2, 0.125, 2, 4, 1, 63.0984, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
