Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 2048, 1, 4, 64, 0.123769, 0.11506, N/A, 0.00350124, 0.00345673, 0.000687691, 0.0111624, 2, 2, 0.125, 2, 4, 1, 49.7121, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 4, 64, 0.175403, 0.165931, N/A, 0.00557897, 0.00545104, 0.00133715, 0.022082, 2, 2, 0.125, 2, 4, 1, 49.6942, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 2048, 1, 8, 64, 0.0928611, 0.10521, N/A, 0.00363953, 0.0031034, 0.000453745, 0.00734082, 2, 2, 0.125, 2, 8, 1, 35.729, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2048, 1, 8, 64, 0.126055, 0.154935, N/A, 0.00623132, 0.00529624, 0.000626872, 0.0155903, 2, 2, 0.125, 2, 8, 1, 35.593, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 2048, 1, 8, 64, 0.176359, 0.223879, N/A, 0.00996868, 0.00845059, 0.00111885, 0.0308522, 2, 2, 0.125, 2, 8, 1, 35.5679, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 4, 64, 0.105263, 0.0938109, N/A, 0.00247038, 0.00269046, 0.000938371, 0.0083123, 2, 2, 0.125, 2, 4, 1, 63.1065, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 4, 64, 0.140921, 0.129799, N/A, 0.0041223, 0.00439556, 0.0013051, 0.0176192, 2, 2, 0.125, 2, 4, 1, 62.9889, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 4, 64, 0.19679, 0.183349, N/A, 0.00650404, 0.0068466, 0.00255487, 0.0348512, 2, 2, 0.125, 2, 4, 1, 62.9733, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4096, 1, 8, 64, 0.105528, 0.112024, N/A, 0.0040115, 0.00339347, 0.00083714, 0.0102519, 2, 2, 0.125, 2, 8, 1, 51.1672, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 8, 64, 0.142561, 0.162408, N/A, 0.00679211, 0.00573345, 0.00115877, 0.0217413, 2, 2, 0.125, 2, 8, 1, 51.0463, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 4096, 1, 8, 64, 0.199733, 0.233032, N/A, 0.0108, 0.00909897, 0.00204704, 0.0430136, 2, 2, 0.125, 2, 8, 1, 51.0234, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 4, 64, 0.140268, 0.121673, N/A, 0.00321098, 0.00385229, 0.00179068, 0.0143787, 2, 2, 0.125, 2, 4, 1, 72.9634, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8192, 1, 4, 64, 0.181242, 0.160057, N/A, 0.00523613, 0.00614491, 0.00249234, 0.0304552, 2, 2, 0.125, 2, 4, 1, 72.8816, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8192, 1, 4, 64, 0.246502, 0.218869, N/A, 0.00815111, 0.00943461, 0.00458892, 0.0602323, 2, 2, 0.125, 2, 4, 1, 72.8745, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 8192, 1, 8, 64, 0.120773, 0.125882, N/A, 0.00479361, 0.00401177, 0.00159683, 0.0160213, 2, 2, 0.125, 2, 8, 1, 65.4828, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8192, 1, 8, 64, 0.159723, 0.177157, N/A, 0.00797809, 0.00667228, 0.00222029, 0.0339571, 2, 2, 0.125, 2, 8, 1, 65.3657, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
